timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1703487000000,2023-12-25T06:50:00Z,288-1-1-111,generic,
1703487060000,2023-12-25T06:51:00Z,288-1-1-111,generic,
1703487120000,2023-12-25T06:52:00Z,288-1-1-111,still,
1703487180000,2023-12-25T06:53:00Z,288-1-1-111,generic,
1703487240000,2023-12-25T06:54:00Z,288-1-1-111,generic,
1703487300000,2023-12-25T06:55:00Z,288-1-1-111,generic,
1703487360000,2023-12-25T06:56:00Z,288-1-1-111,generic,
1703487420000,2023-12-25T06:57:00Z,288-1-1-111,generic,
1703487480000,2023-12-25T06:58:00Z,288-1-1-111,generic,
1703487540000,2023-12-25T06:59:00Z,288-1-1-111,generic,
1703487600000,2023-12-25T07:00:00Z,288-1-1-111,generic,
1703487660000,2023-12-25T07:01:00Z,288-1-1-111,generic,
1703487720000,2023-12-25T07:02:00Z,288-1-1-111,generic,
1703487780000,2023-12-25T07:03:00Z,288-1-1-111,still,
1703487840000,2023-12-25T07:04:00Z,288-1-1-111,generic,
1703487900000,2023-12-25T07:05:00Z,288-1-1-111,generic,
1703487960000,2023-12-25T07:06:00Z,288-1-1-111,generic,
1703488020000,2023-12-25T07:07:00Z,288-1-1-111,generic,
1703488080000,2023-12-25T07:08:00Z,288-1-1-111,generic,
1703488140000,2023-12-25T07:09:00Z,288-1-1-111,generic,
1703488200000,2023-12-25T07:10:00Z,288-1-1-111,generic,
1703488260000,2023-12-25T07:11:00Z,288-1-1-111,generic,
1703488320000,2023-12-25T07:12:00Z,288-1-1-111,generic,
1703488380000,2023-12-25T07:13:00Z,288-1-1-111,generic,
1703488440000,2023-12-25T07:14:00Z,288-1-1-111,generic,
1703488500000,2023-12-25T07:15:00Z,288-1-1-111,generic,
1703488560000,2023-12-25T07:16:00Z,288-1-1-111,still,
1703488620000,2023-12-25T07:17:00Z,288-1-1-111,generic,
1703488680000,2023-12-25T07:18:00Z,288-1-1-111,generic,
1703488740000,2023-12-25T07:19:00Z,288-1-1-111,generic,
1703488800000,2023-12-25T07:20:00Z,288-1-1-111,generic,
1703488860000,2023-12-25T07:21:00Z,288-1-1-111,generic,
1703488920000,2023-12-25T07:22:00Z,288-1-1-111,generic,
1703488980000,2023-12-25T07:23:00Z,288-1-1-111,generic,
1703489040000,2023-12-25T07:24:00Z,288-1-1-111,generic,
1703489100000,2023-12-25T07:25:00Z,288-1-1-111,generic,
1703489160000,2023-12-25T07:26:00Z,288-1-1-111,generic,
1703489220000,2023-12-25T07:27:00Z,288-1-1-111,generic,
1703489280000,2023-12-25T07:28:00Z,288-1-1-111,generic,
1703489340000,2023-12-25T07:29:00Z,288-1-1-111,generic,
1703489400000,2023-12-25T07:30:00Z,288-1-1-111,generic,
1703489460000,2023-12-25T07:31:00Z,288-1-1-111,generic,
1703489520000,2023-12-25T07:32:00Z,288-1-1-111,generic,
1703489580000,2023-12-25T07:33:00Z,288-1-1-111,generic,
1703489640000,2023-12-25T07:34:00Z,288-1-1-111,generic,
1703489700000,2023-12-25T07:35:00Z,288-1-1-111,generic,
1703489760000,2023-12-25T07:36:00Z,288-1-1-111,generic,
1703489820000,2023-12-25T07:37:00Z,288-1-1-111,generic,
1703489880000,2023-12-25T07:38:00Z,288-1-1-111,generic,
